Date Time,Open,High,Low,Close,Volume
2022-06-17 00:00:00,20616,20617,20616,20617,3
2022-06-17 00:00:05,20619,20619,20612,20612,4
2022-06-17 00:00:10,20617,20617,20617,20617,4
2022-06-17 00:00:15,20615,20615,20612,20612,2
2022-06-17 00:00:20,20610,20610,20610,20610,1
2022-06-17 00:00:25,20609,20609,20609,20609,1
2022-06-17 00:00:30,20612,20612,20612,20612,1
2022-06-17 00:00:40,20615,20616,20613,20613,4
2022-06-17 00:00:45,20619,20619,20619,20619,3
2022-06-17 00:00:50,20620,20623,20620,20623,11
2022-06-17 00:01:00,20616,20618,20616,20616,4
2022-06-17 00:01:10,20622,20624,20622,20623,3
2022-06-17 00:01:15,20620,20620,20616,20616,3
2022-06-17 00:01:20,20617,20617,20616,20616,2
2022-06-17 00:01:25,20617,20617,20616,20616,6
2022-06-17 00:01:35,20610,20610,20610,20610,1
2022-06-17 00:01:40,20607,20611,20607,20611,5
2022-06-17 00:01:45,20606,20606,20601,20601,5
2022-06-17 00:01:50,20600,20600,20600,20600,2
2022-06-17 00:01:55,20599,20599,20596,20596,2
2022-06-17 00:02:00,20596,20596,20594,20594,2
2022-06-17 00:02:05,20597,20599,20596,20599,3
2022-06-17 00:02:10,20600,20600,20594,20594,5
2022-06-17 00:02:15,20594,20596,20593,20593,3
2022-06-17 00:02:20,20593,20593,20593,20593,2
2022-06-17 00:02:25,20589,20595,20589,20595,3
2022-06-17 00:02:30,20590,20590,20590,20590,1
2022-06-17 00:02:40,20592,20592,20592,20592,1
2022-06-17 00:02:50,20590,20590,20588,20590,7
2022-06-17 00:02:55,20588,20588,20588,20588,1
2022-06-17 00:03:00,20588,20588,20582,20582,2
2022-06-17 00:03:05,20590,20590,20590,20590,4
2022-06-17 00:03:15,20586,20586,20586,20586,1
2022-06-17 00:03:20,20586,20590,20586,20590,2
2022-06-17 00:03:30,20592,20595,20591,20595,5
2022-06-17 00:03:35,20591,20591,20591,20591,1
2022-06-17 00:03:45,20594,20600,20594,20600,4
2022-06-17 00:03:50,20598,20598,20598,20598,1
2022-06-17 00:03:55,20600,20600,20600,20600,1
2022-06-17 00:04:00,20601,20601,20596,20596,5
2022-06-17 00:04:10,20596,20597,20596,20597,2
2022-06-17 00:04:15,20598,20604,20598,20604,4
2022-06-17 00:04:20,20603,20605,20603,20603,3
2022-06-17 00:04:25,20602,20602,20602,20602,1
2022-06-17 00:04:30,20602,20602,20602,20602,1
2022-06-17 00:04:40,20603,20607,20603,20607,3
2022-06-17 00:04:45,20605,20605,20602,20602,2
2022-06-17 00:04:50,20602,20604,20602,20604,7
2022-06-17 00:04:55,20602,20602,20597,20598,7
2022-06-17 00:05:00,20598,20599,20597,20599,3
2022-06-17 00:05:05,20597,20597,20597,20597,1
2022-06-17 00:05:10,20599,20600,20597,20597,4
2022-06-17 00:05:15,20598,20598,20596,20596,3
2022-06-17 00:05:35,20596,20596,20596,20596,1
2022-06-17 00:05:40,20601,20602,20601,20602,4
2022-06-17 00:05:50,20600,20603,20600,20603,4
2022-06-17 00:06:00,20600,20603,20598,20598,5
2022-06-17 00:06:10,20601,20601,20601,20601,1
2022-06-17 00:06:25,20602,20602,20602,20602,1
2022-06-17 00:06:30,20601,20601,20600,20600,5
2022-06-17 00:06:40,20594,20594,20591,20591,2
2022-06-17 00:06:45,20590,20590,20590,20590,1
2022-06-17 00:06:50,20591,20591,20590,20591,4
2022-06-17 00:06:55,20584,20586,20584,20586,2
2022-06-17 00:07:00,20584,20584,20582,20582,3
2022-06-17 00:07:10,20583,20583,20578,20578,6
2022-06-17 00:07:15,20575,20575,20573,20575,4
2022-06-17 00:07:20,20574,20574,20574,20574,1
2022-06-17 00:07:25,20576,20576,20576,20576,1
2022-06-17 00:07:35,20570,20572,20570,20572,2
2022-06-17 00:07:40,20571,20573,20571,20573,3
2022-06-17 00:07:45,20574,20574,20574,20574,3
2022-06-17 00:07:50,20577,20577,20572,20572,10
2022-06-17 00:07:55,20571,20571,20569,20569,2
2022-06-17 00:08:00,20573,20574,20571,20571,5
2022-06-17 00:08:10,20570,20570,20570,20570,1
2022-06-17 00:08:20,20573,20573,20573,20573,1
2022-06-17 00:08:25,20574,20576,20570,20570,5
2022-06-17 00:08:30,20575,20575,20575,20575,5
2022-06-17 00:08:35,20570,20570,20570,20570,1
2022-06-17 00:08:40,20571,20571,20571,20571,2
2022-06-17 00:08:45,20568,20568,20568,20568,1
2022-06-17 00:09:00,20572,20572,20568,20568,2
2022-06-17 00:09:05,20572,20572,20572,20572,1
2022-06-17 00:09:15,20572,20572,20572,20572,2
2022-06-17 00:09:20,20570,20574,20570,20574,4
2022-06-17 00:09:25,20572,20572,20572,20572,1
2022-06-17 00:09:35,20570,20570,20570,20570,1
2022-06-17 00:09:50,20575,20576,20575,20576,4
2022-06-17 00:09:55,20572,20572,20572,20572,1
2022-06-17 00:10:00,20570,20570,20570,20570,1
2022-06-17 00:10:20,20579,20579,20579,20579,1
2022-06-17 00:11:00,20588,20590,20588,20590,2
2022-06-17 00:11:05,20595,20599,20595,20599,2
2022-06-17 00:11:10,20594,20594,20594,20594,1
2022-06-17 00:11:15,20593,20593,20593,20593,2
2022-06-17 00:11:25,20595,20595,20595,20595,1
2022-06-17 00:11:30,20595,20595,20595,20595,1
2022-06-17 00:11:35,20592,20592,20591,20591,3
2022-06-17 00:11:40,20594,20594,20591,20591,2
2022-06-17 00:11:45,20593,20593,20593,20593,3
2022-06-17 00:11:50,20592,20592,20592,20592,1
2022-06-17 00:11:55,20589,20589,20586,20586,17
2022-06-17 00:12:00,20585,20585,20581,20581,4
2022-06-17 00:12:10,20585,20585,20585,20585,1
2022-06-17 00:12:15,20587,20587,20587,20587,1
2022-06-17 00:12:25,20584,20584,20584,20584,1
2022-06-17 00:12:35,20583,20583,20583,20583,1
2022-06-17 00:12:40,20584,20584,20584,20584,1
2022-06-17 00:12:45,20580,20580,20580,20580,1
2022-06-17 00:12:50,20579,20584,20579,20584,5
